date,pct_harris,pct_trump
2024-08-03,47.792502603262754,45.79555709822978
2024-08-04,48.63752749670039,44.704091509018916
2024-08-05,48.394884194451514,44.745482311020616
2024-08-06,48.37430312459484,44.55750032412809
2024-08-07,48.37430312459484,44.55750032412809
2024-08-08,49.23759447913243,44.93427538613211
2024-08-09,49.420079739035884,44.71003986951794
2024-08-10,48.71655328798186,44.71655328798186
2024-08-11,47.44342384172807,44.60371454527102
2024-08-12,48.48536506915407,45.098102283692505
2024-08-13,48.67795578040097,44.9340921866217
2024-08-14,48.42614023144996,45.5407306557749
2024-08-15,48.79698523067553,45.104907882048416
2024-08-16,49.71028379615502,45.35148001220629
2024-08-17,48.70046428036543,44.70046428036543
2024-08-18,48.46931823412972,44.46931823412972
2024-08-19,48.44930130102568,44.724650650512835
2024-08-20,48.306607821503,45.355400269707
2024-08-21,48.71280873061459,45.71280873061459
2024-08-22,48.8129711751663,44.80271618625277
2024-08-23,49.1492661667628,44.405627122989166
2024-08-24,49.65752589884217,44.83284582571603
2024-08-25,48.99012838801712,44.94910128388017
2024-08-26,47.3793793187053,43.63650139410838
2024-08-27,47.3793793187053,43.63650139410838
2024-08-28,47.5686310597416,43.97953399344793
2024-08-29,48.73109243697479,45.73109243697479
2024-08-30,48.675542168674696,45.675542168674696
2024-08-31,49.483704420780896,45.74185221039045
2024-09-01,49.497455870343614,45
2024-09-02,49.33504641909814,46.33355437665782
2024-09-03,49.297395622798405,45.68880291043483
2024-09-04,49.09008742035857,46.19884427322566
2024-09-05,49.26846741668436,47.0092867756315
2024-09-06,48.7104791186267,46.2895208813733
2024-09-07,49,46
2024-09-08,49,46
2024-09-09,49,46
2024-09-10,49.51683168316832,45.90336633663367
2024-09-11,49.75507649513213,45.60605006954103
2024-09-12,49.05003949001467,45.09192711271579
2024-09-13,50.3203588533848,45.63714346986918
2024-09-14,50,45
2024-09-15,50.796279069767444,44.93209302325582
2024-09-16,49.766829635201205,46.27115456938699
2024-09-17,49.87503194479939,44.94888832098135
2024-09-18,50,46
2024-09-19,50,46.43994961843373
2024-09-20,49.68678665496049,46.457857769973664
2024-09-21,50,45
2024-09-22,48.9290532375741,44.85220474236206
2024-09-23,51.08308678500986,45.249260355029584
2024-09-24,50.923300249814325,44.918709067584906
2024-09-25,50.86953025531059,45.59344635797092
2024-09-26,50,45
2024-09-27,49.85688971394819,45
2024-09-28,50,45
2024-09-29,50.93224477338624,46.19937433236686
2024-09-30,50,46
2024-10-01,49.734779603339184,46.172116765034296
2024-10-02,50,45
2024-10-03,49.77350920916662,45.976901100237065
2024-10-04,49.491363042531574,45.54932984951856
2024-10-05,51,45
2024-10-06,50.35250961343858,46.56031167779802
2024-10-07,50.28683282529436,45.324786324786324
2024-10-08,49.9844421476364,47.08790730566284
2024-10-09,50,46
2024-10-10,50.26464030043422,46.79157375894848
2024-10-11,50.474436179005785,47.26319518243004
2024-10-12,50,46
2024-10-13,49.43386331014685,46.221651761068784
2024-10-14,49.600557577634945,46.67575311701386
2024-10-15,49.671177477057086,45.78449214496811
2024-10-16,49.703375472435816,46.78522090447022
2024-10-17,49.50074573633357,47.38259516244083
2024-10-18,49.73664524791407,46.3762347751031
2024-10-19,49.25537221795856,46.55276285495012
2024-10-20,49.6197269207255,46.253515386183004
2024-10-21,47.17754901156591,44.188171602001475
2024-10-22,49.37337662337662,46.9734555984556
2024-10-23,49.187269797421735,46.986705801104975
2024-10-24,49.81344095773626,46.42236531833847
2024-10-25,50.89492401500263,46.41653168621183
2024-10-26,49.757368467749096,46.34959630911188
2024-10-27,48.40108245781598,46.29519261381726
2024-10-28,49.81057882767222,47.031399016946665
2024-10-29,49.778824496506374,47.99369502671599
2024-10-30,49.75032073423468,47.12483963288266
2024-10-31,48.7055601659751,47.88464730290456
2024-11-01,48.7055601659751,47.88464730290456
2024-11-02,48.54419209431346,49.37628294036062
2024-11-03,48.50415151515152,47.86842424242424
2024-11-04,48.50415151515152,47.86842424242424
